!22050
HVINIC    'Hardvox - Versão '
HVDESIST    'Desistiu...'
HVOBRIG    'Obrigado por usar o hardvox'
HVOPCAO    'Hardvox - opção: '
HVUSESET    'Para selecionar, use as setas'
HVOPINV    'Opção inválida: aperte F1 para ajuda'
HVFALHOU    'DFP_GET_VERSION falhou no drive '
HVSEMHDS    'Nenhum HD identificado '
HVINFISD    'Qual a unidade física de disco (0 a 3)? '
HVESCDRV    'Escolha o drive com as setas: '
HVDRVERR    'Drive errado'
HDESCUNI    'Escolha a unidade com as setas: '
HVUSERS    'Usuários desta máquina, use as setas para conhecer'
HVSEMWAV    'Essa máquina não tem dispositivos de áudio'
HVSEMMID    'Essa máquina não tem dispositivos de midi'
HVSETWAV    'Áudio - Use as setas para folhear'
HVSETMID    'Midi - Use as setas para folhear'
HVSETGRF    'Controladores gráficos - use as setas para folhear'
HVSETMON    'Monitores - use as setas para folhear'
HVSETFOL    'Use as setas para folhear'
HD_CTL0    'Primário mestre'
HD_CTL1    'Primário escravo'
HD_CTL2    'Secundário mestre'
HD_CTL3    'Secundário escravo'
HD_CTL4    'Terciário mestre'
HD_CTL5    'Terciário escravo'
HD_CTL6    'Quaternário mestre'
HD_CTL7    'Quaternário escravo'
HV_FAB    'Fabricante: '
HV_DRV    '    Driver: '
HV_RES    '    Resolução máxima: '
HVMODDSK    'Modelo do disco'
HVNUMSER    'Número de série'
HVREVCTL    'Número de revisão do controlador'
HVBUFINT    'Buffers Internos'
HVREMOVI    'Removível'
HVFIXA    'Fixa'
HVDESCON    'Desconhecido'
HVTIPOUN    'Tipo de unidade'
HVCILIND    'Cilindros'
HVCABECA    'Cabeças'
HVSPT    'Setores por Trilha'
HVMEMFIS    'Memória Física total em MB'
HVMEMDIS    'Memória física disponível'
HVMEMUSO    '% de memória em uso'
HVARQPAG    'Tamanho do arquivo de paginação'
HVDISPAG    'Disponível no arquivo de paginação'
HVENDMB    'Espaço de endereçamento do usuário em MB'
HVENDDIS    'Disponível no Espaço de endereçamento do usuário'
HVTIPUNI    'Tipo da Unidade'
HVMONTAD    'Montado'
HVPERMIS    'Permissão de escrita'
HVTAMDSK    'Tamanho do Disco'
HVESPACL    'Espaço livre'
HVNUMSER    'Número de Série'
HVROTULO    'Rótulo do Volume'
HVTSPIN    'Tempo de Spin Up'
HVCSTART    'Contador Start/Stop'
HVCREALO    'Contador de setores realocados'
HVMARGEL    'Margem do canal de leitura'
HVERRPOS    'Taxa de erros de posicionamento'
HVTEMPOS    'Desempenho do tempo de posicionamento'
HVTLIGAD    'Minutos no estado ligado'
HVCRETRY    'Contador de Spin Retry'
HVTENTAR    'Tentativas de Recalibragem'
HVCDPOWR    'Contador de ciclo de Device Power'
HVCCARGA    'Contador do ciclo de carga/descarga'
HVPRTEMP    'Problema de Temperatura'
HVCEVREA    'Contador do evento de realocação'
HVCSETPD    'Contador de setores correntes pendentes'
HVCSETNC    'Contador de setores não corrigíveis'
HVCERDMA    'Contador de erros UDMA CRC'
HVCERRES    'Taxa de erros de escrita'
HVPRONAO32    'Erro na execução do programa HWMonitor_x32'
HVPRONAO64    'Erro na execução do programa HWMonitor_x64'
HVPRONAO    'Programa HWMonitor (32 ou 64 bits) não encontrado'
HVFUNCAN    'Função cancelada'
HVLESENS    'Lendo sensores, aguarde'
HVINFNAO    'Informações indisponíveis'
HVFABRIC    'Fabricante'
HVMODELO    'Modelo'
HVCHIPMN    'Chip monitor'
HVFBCHIP    'Fabricante do Chip'
HVMDCHIP    'Modelo do Chip'
HV_TEMP    'Temperatura '
HV_VOLT    'Voltagem '
HV_FAN    'RPM do ventilador '
HVPROCES    'Processador'
HVVELCPU    'Velocidade em MHz'
HVFABCPU    'Fabricante'
HVCPUID    'Identificação'
HVSTATAT    'Status da atualização'
HVTIPOPM    'Tipo da Placa Mãe'
HVDTBIOS    'Data da BIOS'
HVVBIOS    'Versão da BIOS'
HVDBIOSV    'Data da BIOS de vídeo'
HVVBIOSV    'Versão da BIOS de vídeo'
HVNMCOMP    'Nome do Computador'
HVSISTOP    'Sistema Operacional'
HVSISVER    'Versão atual'
HVSISVAT    'Versão da Atualização'
HVPROPRI    'Proprietário'
HVORGAN    'Organização'
HVTIPSIS    'Tipo de sistema'
HVNUMGER    'Número de geração atual'
HVROOTDI    'Diretório de Root'
HVDIRECX    'DirectX versão'
HVSETSNS    'Circuitos sensores da placa mãe - use as setas para selecionar'
HVPRONAO    'Monitor de hardware não foi encontrado'
HVSNSSET    'Use as setas para ler os valores dos sensores'
HVOP_S    '  S - informações sobre o Sistema Operacional'
HVOP_P    '  P - placa mãe'
HVOP_T    '  T - temperaturas, voltagens e outros sensores'
HVOP_C    '  C - CPU sob a perspectiva do Windows'
HVOP_M    '  M - memória RAM'
HVOP_H    '  H - informações físicas sobre os HD'
HVOP_E    '  E - espaço nos discos'
HVOP_A    '  A - áudio e midi'
HVOP_V    '  V - monitores de vídeo'
HVOP_D    '  D - diagnostico SMART dos discos'
HVOP_U    '  U - usuários da máquina'
HVESC    '  ESC - termina'
